City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Bandarbeyla,SO,76.93,few clouds,9.4942,50.8122,JABIR HOTEL
6,Port Alfred,ZA,75.0,few clouds,-33.5906,26.891,The Halyards Hotel
7,Viedma,AR,79.0,clear sky,-40.8135,-62.9967,Hotel Cristal
14,Tarakan,ID,79.75,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
15,Saint-Philippe,RE,82.4,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
20,Grande Riviere Du Nord,HT,82.29,scattered clouds,19.5833,-72.1833,La Belle Maison
21,Cidreira,BR,75.94,broken clouds,-30.1811,-50.2056,Hotel Castelo
22,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,Pension Maro'i
23,Caravelas,BR,83.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
26,Atuona,PF,80.17,broken clouds,-9.8,-139.0333,Villa Enata
32,Roebourne,AU,78.53,few clouds,-20.7833,117.1333,Harding River Caravan Park
36,Isangel,VU,77.56,clear sky,-19.55,169.2667,Volcano Sea View Tree House
48,Namatanai,PG,79.05,broken clouds,-3.6667,152.4333,Namatanai Hotel
53,Chuy,UY,81.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
57,Castro,BR,76.26,clear sky,-24.7911,-50.0119,CHACARA BAILLY
60,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
64,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
65,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
68,Wewak,PG,78.57,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
72,Katherine,AU,77.0,light rain,-14.4667,132.2667,Pine Tree Motel
73,Taoudenni,ML,77.94,scattered clouds,22.6783,-3.9836,
79,Kirakira,SB,79.61,overcast clouds,-10.4544,161.9205,SanBiz Lodge
80,Bredasdorp,ZA,75.2,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
81,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel El Recreo
95,Lorengau,PG,81.55,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
96,Ransang,PH,77.95,overcast clouds,8.9603,117.5828,Mapangcal Cove
98,Mormugao,IN,80.6,scattered clouds,15.4,73.8,Coconut Creek Resort
103,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
104,Tabou,CI,82.27,light rain,4.423,-7.3528,hotêl doufoulougou
109,Finschhafen,PG,81.32,light rain,-6.6024,147.8681,Cossam Guest House
110,Acari,PE,82.54,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
112,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
113,Sao Joao Da Barra,BR,77.0,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
114,Rio Grande,BR,80.01,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
115,Bengkulu,ID,76.48,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Nabire,ID,75.61,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
120,Mahebourg,MU,78.8,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Varca,IN,80.6,broken clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
122,Huarmey,PE,75.9,overcast clouds,-10.0681,-78.1522,Hotel Miramar
131,Souillac,MU,78.8,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
134,Kupang,ID,79.43,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
138,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
142,Imbituba,BR,82.4,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
144,Kavieng,PG,81.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
145,Avarua,CK,75.2,few clouds,-21.2078,-159.775,Paradise Inn
149,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
151,Matara,LK,76.59,light rain,5.9485,80.5353,Amaloh Boutique Resort
156,Aripuana,BR,78.69,overcast clouds,-9.1667,-60.6333,
161,Bonthe,SL,83.68,broken clouds,7.5264,-12.505,Bonthe Holiday Village
168,Monrovia,LR,80.6,broken clouds,6.3005,-10.7969,Sunset Inn
174,Santa Isabel Do Rio Negro,BR,86.86,overcast clouds,-0.4139,-65.0192,Hotel GSA
175,Inhambane,MZ,86.0,scattered clouds,-23.865,35.3833,Oceano
178,Altamira,BR,89.6,scattered clouds,-3.2033,-52.2064,Requinte Hotel
182,Upata,VE,87.44,overcast clouds,8.0086,-62.3989,Posada Villa Nela
186,Itarema,BR,87.78,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
190,Paita,PE,78.98,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
191,Takoradi,GH,83.07,scattered clouds,4.8845,-1.7554,Raybow International Hotel
192,Saint-Georges,GD,86.0,few clouds,12.0564,-61.7485,Siesta Hotel
197,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
214,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
221,Kieta,PG,80.01,overcast clouds,-6.2167,155.6333,
225,Kuching,MY,75.2,moderate rain,1.55,110.3333,Hilton Kuching
227,Caxito,AO,82.4,few clouds,-8.5785,13.6643,
229,Rosario,AR,88.0,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
231,Puerto El Triunfo,SV,89.6,clear sky,13.2833,-88.55,Hotel Jardin
234,Saldanha,ZA,75.2,few clouds,-33.0117,17.9442,Blue Bay Lodge
236,Waingapu,ID,78.17,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
250,Severinia,BR,82.4,scattered clouds,-20.8094,-48.8028,Oasis Hotel
251,Tucupita,VE,87.19,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
254,Rocha,UY,84.7,clear sky,-34.4833,-54.3333,Beleza Pura B&B
257,Nioro,GM,86.49,overcast clouds,13.35,-15.75,
258,Bambanglipuro,ID,77.72,overcast clouds,-7.95,110.2833,Puri Brata
259,Bara,NG,89.6,broken clouds,10.3744,10.7288,
261,Barra,BR,84.7,broken clouds,-11.0894,-43.1417,Motel Albatroz
264,Moanda,GA,84.2,moderate rain,-1.5575,13.2178,Motel Hippo +
265,Hobyo,SO,77.99,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
268,San Felipe,VE,82.72,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
270,Faanui,PF,81.48,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
272,Cartagena,CO,87.8,scattered clouds,10.3997,-75.5144,Costa Del Sol
275,Gashua,NG,80.37,broken clouds,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
280,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
286,Saint-Leu,RE,80.01,scattered clouds,-21.15,55.2833,La Caz Oceane
292,Punta Alta,AR,79.29,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
295,Quatre Cocos,MU,80.01,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
297,Conde,BR,89.6,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
300,Vanimo,PG,77.07,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
305,Weston,US,84.2,scattered clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
307,Bubaque,GW,79.63,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
309,Porto Novo,BJ,89.6,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
310,Achutupo,PA,83.86,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
317,Guanica,PR,84.99,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
318,Conakry,GN,86.0,haze,9.538,-13.6773,Riviera Royal Hotel
327,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
329,Kavaratti,IN,81.21,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
330,Sabang,ID,81.77,moderate rain,5.8933,95.3214,Hotel Citra
332,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
336,Karratha,AU,78.58,few clouds,-20.7377,116.8463,ibis Styles Karratha
337,Celestun,MX,79.57,scattered clouds,20.8667,-90.4,Posada Lilia
342,Bima,ID,76.46,broken clouds,-8.4667,118.7167,Lambitu Hotel
343,Rafai,CF,81.32,broken clouds,4.95,23.9167,
344,Majene,ID,78.4,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
348,Pitimbu,BR,89.6,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
351,Daru,PG,79.9,overcast clouds,-9.0763,143.2092,Daru Lodge
353,Kralendijk,BQ,84.2,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
356,Salinopolis,BR,84.65,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
359,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
366,Yulara,AU,78.8,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
371,Kudahuvadhoo,MV,81.73,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
372,Mana,GF,80.58,broken clouds,5.6592,-53.7767,LE SAMANA
378,Kyabe,TD,85.51,few clouds,9.4515,18.9449,
379,Hambantota,LK,78.08,overcast clouds,6.1241,81.1185,Bungalow 63
380,Vangaindrano,MG,80.29,moderate rain,-23.35,47.6,Hotel Fanilo
381,Ariquemes,BR,79.25,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
387,Chiredzi,ZW,79.21,broken clouds,-21.05,31.6667,The Nesbitt Arms
391,Tibiri,NE,84.2,dust,13.5627,7.0485,
394,Buala,SB,80.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
395,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
399,Lakatoro,VU,78.57,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
401,Sainte-Rose,GP,80.6,overcast clouds,16.3324,-61.6979,Villa - Duzer
407,Poum,NC,79.84,few clouds,-20.2333,164.0167,Gîte kajeon
408,Uarini,BR,84.2,broken clouds,-2.99,-65.1083,
409,Zemio,CF,79.92,overcast clouds,5.0314,25.1361,OCHA Office
412,Amuntai,ID,75.16,overcast clouds,-2.4177,115.2494,Hotel Balqis
421,Vaitape,PF,81.48,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
422,Oron,NG,86.25,scattered clouds,4.8256,8.2343,Aqua Belloni Lodge
424,Labuhan,ID,78.64,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
425,Santa Rosa,PH,78.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
432,Kidal,ML,86.99,broken clouds,18.4411,1.4078,
436,Kloulklubed,PW,78.8,light rain,7.0419,134.2556,Storyboard Beach Resort
437,Sainte-Suzanne,RE,78.8,moderate rain,-20.9061,55.6089,Gites Ango
439,Nacala,MZ,79.75,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
440,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
443,Villa Carlos Paz,AR,88.0,clear sky,-31.4241,-64.4978,Monte Carlo
445,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
446,Labuan,MY,80.6,few clouds,5.2767,115.2417,Tiara Labuan Hotel
448,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
449,Alice Springs,AU,75.2,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
454,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
455,Balabac,PH,80.1,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
456,Kiboga,UG,75.42,clear sky,0.9161,31.7742,Marie Lustenberger Guest House
457,Tevaitoa,PF,81.43,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
458,Muli,MV,81.54,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
460,Honiara,SB,78.22,moderate rain,-9.4333,159.95,Heritage Park Hotel
464,Pangkalanbuun,ID,75.18,light rain,-2.6833,111.6167,Grand Kecubung Hotel
465,Alegrete,BR,79.63,clear sky,-29.7831,-55.7919,Hotel Alegrete
467,Marovoay,MG,82.4,scattered clouds,-16.1,46.6333,
477,Beloha,MG,78.91,clear sky,-25.1667,45.05,
480,Beira,MZ,86.0,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
481,Mounana,GA,84.2,moderate rain,-1.4085,13.1586,
487,Sechura,PE,82.04,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
489,Matadi,CD,85.57,broken clouds,-5.8167,13.45,Hotel Fortune
493,Alta Floresta,BR,76.06,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
497,Kasongo-Lunda,CD,78.62,light rain,-6.4667,16.8167,
500,Samarai,PG,82.33,overcast clouds,-10.6167,150.6667,Nuli Sapi
501,Ixtapa,MX,78.01,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
502,Belmonte,BR,84.2,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
503,Ritchie,ZA,82.4,light rain,-29.038,24.6028,Riverside County Club Kimberley
507,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
508,Sinnamary,GF,79.99,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
510,Pisco,PE,75.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
511,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
518,Garissa,KE,89.37,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
536,Araouane,ML,85.55,overcast clouds,18.9048,-3.5265,
539,Pekan,MY,75.2,few clouds,3.4836,103.3996,Pekan Budget Hotel
540,Ayolas,PY,82.8,clear sky,-27.4,-56.9,Hotel Ayolas
543,Bondo,CD,82.98,few clouds,3.8146,23.6866,
544,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
557,Reconquista,AR,88.12,clear sky,-29.15,-59.65,Grand Hotel
560,Koungou,YT,82.4,broken clouds,-12.7336,45.2042,Villa Netibor
564,Loubomo,CG,79.68,light rain,-4.1997,12.6739,La Dolisienne
565,Luba,GQ,82.69,overcast clouds,3.4568,8.5547,
569,Kismayo,SO,77.07,clear sky,-0.3582,42.5454,Agan-Hotel
572,Florianopolis,BR,84.0,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
573,Nsanje,MW,82.38,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
575,Birao,CF,75.27,broken clouds,10.2849,22.7882,
576,Ocos,GT,87.8,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
579,Neiafu,TO,78.8,very heavy rain,-18.65,-173.9833,Mystic Sands
581,Omboue,GA,81.0,light rain,-1.5746,9.2618,Hotel Olako
582,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
585,Irinjalakuda,IN,78.8,haze,10.3333,76.2333,Kallada Regency
588,Harper,LR,82.92,scattered clouds,4.375,-7.7169,Screensaver
592,Bocana De Paiwas,NI,83.86,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
598,Najran,SA,77.0,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
601,Kumba,CM,86.58,scattered clouds,4.6363,9.4469,El Bethel Hotel
603,Bossangoa,CF,87.39,scattered clouds,6.4926,17.4552,LA PERLE DE BOSTON
604,Candido De Abreu,BR,84.4,clear sky,-24.5669,-51.3333,Hotel Recanto
605,Savannah Bight,HN,84.2,clear sky,16.45,-85.85,Villa on Dunbar Rock
606,Buchanan,LR,80.6,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
624,Richards Bay,ZA,76.53,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
633,Vao,NC,77.2,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
634,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
639,Pilar,BR,89.6,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
640,Jizan,SA,78.8,few clouds,17.3333,42.6667,شهدان. ابوالحجر
641,Amahai,ID,79.36,light rain,-3.3333,128.9167,HOTEL ISABELA
642,Meulaboh,ID,79.48,broken clouds,4.1363,96.1285,Kost Pria
644,Ndele,CF,81.66,broken clouds,8.4109,20.6473,
648,Vega De Alatorre,MX,76.66,clear sky,20.0333,-96.6333,El Polo Norte
651,Galle,LK,78.67,overcast clouds,6.0367,80.217,Amangalla
653,Dhidhdhoo,MV,81.91,broken clouds,6.8833,73.1,Dhidhoo beach
654,Banda Aceh,ID,78.67,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
656,Chilca,PE,77.0,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
657,San-Pedro,CI,83.08,scattered clouds,4.7485,-6.6363,Hotel Maria
659,Valenca,BR,89.76,overcast clouds,-13.3703,-39.0731,Hotel Galeão
663,Maningrida,AU,77.22,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
